Product Name:,,,,,RUSS,,
,,,,,,,
Number,Section,Question,Type,Options,Include Question,Blocker,General Comments
1,Stream Snapshot,Secondary stream name,Short text,,YES,YES,
2,Stream Snapshot,What process generates this stream?,Short text,,YES,YES,
3,Stream Snapshot,Is this stream recurring or one-time?,Single select,,YES,YES,
4,Stream Snapshot,How much is generated?,Number,,YES,YES,
5,Stream Snapshot,Unit of measure,Single Select,,YES,YES,
6,Stream Snapshot,How often is it generated?,Single Select,,YES,YES,
7,Stream Snapshot,Facility location (Pre-filled),"City, State/Province, Country",,YES,YES,
8,Stream Snapshot,How is it currently packaged or stored?,Single select + optional notes,,YES,YES,
9,Stream Snapshot,Desired timeline for first pickup or solution,Single Select,,YES,YES,
10,Current Handling,What is currently happening to this stream?,Single select,,YES,YES,
11,Current Handling,Current service provider / vendor,Short text,,YES,YES,
12,Current Handling,Current total management cost,Number,,YES,YES,
13,Current Handling,Cost unit,Single Select,,YES,YES,
14,Current Handling,Is the stream already sold or reused in a low-value outlet?,Yes / No / Unknown,,YES,YES,
15,Technical Confidence,Regulatory status,Single Select,,YES,YES,
16,Technical Confidence,Is the composition generally consistent from load to load?,Single Select,,YES,YES,
17,Technical Confidence,"Top 3 components, if known",Long text,,YES,YES,
18,Technical Confidence,Known contaminants or impurities,Long text,,YES,YES,
19,Technical Confidence,Has this stream ever been rejected for reuse or recycling?,Yes / No / Unknown,,YES,YES,
20,Technical Confidence,"If yes, what caused rejection?",Long text,,YES,YES,
21,Project Driver,Biggest pain point this stream creates,Long text,,YES,YES,
22,Project Driver,Primary goal for this project,Single Select,,YES,YES,
23,Project Driver,Why now?,Long text,,YES,YES,
24,Project Driver,Is the customer open to alternatives beyond disposal?,Yes / No / Unknown,,YES,YES,
25,Project Driver,Internal initiative tied to this project,Single Select,,YES,YES,
26,Later-stage commercial fields,Contract expiry with current vendor,Date / Unknown,,YES,YES,
27,Later-stage commercial fields,Decision-maker role,Single Select + text,,YES,YES,
28,Later-stage commercial fields,Most important buying criterion,Single Select,,YES,YES,
29,Later-stage commercial fields,Are similar streams generated at other sites?,Yes / No / Unknown,,YES,YES,
30,Later-stage commercial fields,Are other secondary streams also in scope?,Yes / No / Unknown,,YES,YES,
31,Later-stage commercial fields,Manufacturing process / Additional insights on answer to question 2,Open question,,YES,YES,
